|              |    Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q9  | 3.9639|     1367.1797|            1|             9|  66.9013|        1|
|avg_score_Q23 | 3.7051|     2324.7606|            2|             1|  67.0987|        1|
|avg_score_Q29 | 3.6925|     1162.7214|            3|            12|  64.4619|        1|
|avg_score_Q19 | 3.4912|      409.1147|            4|            17|  68.9821|        1|
|avg_score_Q15 | 3.4539|     1567.5994|            5|             7|  69.1570|        1|
|avg_score_Q25 | 3.3025|     1875.1585|            6|             4|  67.5247|        1|
|avg_score_Q8  | 3.2863|      623.8206|            7|            16|  64.2556|        1|
|avg_score_Q30 | 3.2444|     1183.4852|            8|            11|  66.9148|        1|
|avg_score_Q20 | 3.2278|      979.7770|            9|            15|  68.3946|        1|
|avg_score_Q24 | 3.2171|     2026.8715|           10|             2|  66.5964|        1|
|avg_score_Q7  | 3.1882|      233.5274|           11|            19|  71.0404|        1|
|avg_score_Q11 | 3.0703|     2001.9732|           12|             3|  64.9507|        1|
|avg_score_Q16 | 3.0254|     1578.1778|           13|             6|  68.9955|        1|
|avg_score_Q17 | 2.8962|      155.7021|           14|            22|  70.8206|        1|
|avg_score_Q22 | 2.8364|      996.0962|           15|            14|  65.0942|        1|
|avg_score_Q12 | 2.8102|      228.9474|           16|            20|  70.7668|        1|
|avg_score_Q21 | 2.6325|     1874.0316|           17|             5|  68.0942|        1|
|avg_score_Q10 | 2.5242|     1386.6810|           18|             8|  67.1031|        1|
|avg_score_Q28 | 2.4122|      381.0865|           19|            18|  65.5561|        1|
|avg_score_Q18 | 2.2305|     1116.4353|           20|            13|  67.2780|        1|
|avg_score_Q27 | 2.1872|      221.1335|           21|            21|  68.1300|        1|
|avg_score_Q26 | 2.1639|     1330.7523|           22|            10|  66.8296|        1|
