"Store","CooksD"
"R05-A19-Watford Road",0.231251176711708
"R02-A06-Sun Lai",0.219415134268729
"R01-A04-Fung Wah",0.119188721088891
"R04-A17-Lok Ma Chau",0.0615268322279722
"R01-A04-Tai Shan",0.0549867964198166
"R04-A17-Sha Tau Kok",0.0480617045731324
"R02-A09-Chun Seen Mei",0.0430376071088646
"R02-A09-Tsui Chuk Garden",0.0406048224874627
"R01-A03-Fullagar",0.0310908159147248
"R02-A07-Far East",0.0309019351309279
"R05-A20-Victoria Dockside - MP",0.0291384277557905
"R02-A06-Dor Hei Building",0.029130205943338
"R01-A02-Cheung Chau",0.0273355437577048
"R03-A10-Golden Hill",0.0272926059254841
"R05-A19-Jardine House - MPJ",0.0259041248791017
"R02-A09-Tin Ma",0.0255472144524564
"R02-A08-Shek On Building",0.0237730714589486
"R04-A16-Union Plaza",0.0209102591818392
"R02-A05-Well On Garden",0.0206236610326565
"R04-A18-Lam Tei 2",0.0194045691011748
"R05-A21-Redhill Plaza",0.0165451986800116
"R04-A15-Mei Tin",0.0156845395559693
"R01-A02-Yee Ga Court",0.0153087253935127
"R03-A11-Tai Wo Hau",0.0150422582363641
"R02-A08-Cite 33",0.0140542076291111
"R01-A02-Hennessy Road",0.0140418997856678
"R01-A02-Loon Kee Building",0.0127623123538537
"R02-A08-Yaumatei",0.0126970432449549
"R02-A05-Sai Kung Building",0.0126965857413965
"R04-A16-Fanling Centre",0.0126810894103031
