"Store","CooksD"
"R05-A22-Lions Rise - MP",0.188978572889492
"R01-A04-Fung Wah",0.0916228169339863
"R01-A04-Winner",0.0864703891298886
"R05-A19-Watford Road",0.0805821505331666
"R02-A07-Chevalier House",0.0735104746120438
"R02-A09-Tsui Chuk Garden",0.0670693034531663
"R01-A04-Sun Sing",0.0480949688375103
"R01-A02-Loon Kee Building",0.0371866367393836
"R04-A17-Sha Tau Kok",0.0361035825360327
"R05-A23-Discovery Bay - MP",0.0265688069142609
"R04-A15-Fo Tan",0.0243462630623002
"R05-A21-Redhill Plaza",0.0225520973569902
"R05-A20-The Palazzo - MP",0.0206194623331828
"R02-A06-Dor Hei Building",0.0196847096772501
"R01-A01-Victoria Centre",0.0173846299059904
"R05-A19-Peak - MP",0.0173491603957729
"R04-A15-Yuet On",0.0170912479271495
"R05-A19-Prince Building - Oliver's",0.0165527239825555
"R01-A03-DDC Westwood",0.0156642184193792
"R05-A23-Coastal Skyline - MP",0.0152322990757689
"R03-A10-Nam Cheong Estate",0.0144990883695669
"R01-A03-Wah King",0.0143588750894981
"R05-A22-Julimount Garden",0.0141952059612523
