|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q29 | 16.4456|     18773.151|            1|             2|  73.9159|       35|
|avg_score_Q8  | 15.8271|      8940.117|            2|            16|  73.4181|       43|
|avg_score_Q30 | 14.0985|     18594.749|            3|             3|  75.8876|       37|
|avg_score_Q7  | 13.0604|      2058.572|            4|            22|  78.1468|       77|
|avg_score_Q25 | 13.0059|     15264.932|            5|             5|  76.9683|       52|
|avg_score_Q22 | 12.8621|      5970.079|            6|            18|  73.3281|       36|
|avg_score_Q27 | 12.7941|     12729.977|            7|             8|  77.5480|       66|
|avg_score_Q26 | 12.5843|     10116.850|            8|            14|  75.7134|       44|
|avg_score_Q28 | 12.3634|      4155.395|            9|            21|  73.5224|       40|
|avg_score_Q24 | 12.3235|     14167.904|           10|             7|  76.2555|       42|
|avg_score_Q17 | 12.2813|      4367.689|           11|            20|  79.2167|       63|
|avg_score_Q18 | 12.1166|      9400.619|           12|            15|  75.4170|       43|
|avg_score_Q11 | 11.8470|     20127.475|           13|             1|  74.6632|       45|
|avg_score_Q15 | 11.2806|     10342.269|           14|            13|  77.4296|       60|
|avg_score_Q12 | 11.1731|      4985.379|           15|            19|  79.9716|       79|
|avg_score_Q10 | 10.8569|     11463.341|           16|            10|  77.0895|       57|
|avg_score_Q16 | 10.3542|      7510.341|           17|            17|  77.5191|       56|
|avg_score_Q9  | 10.0824|     10964.598|           18|            12|  75.7020|       49|
|avg_score_Q23 |  9.4820|     15243.250|           19|             6|  76.1043|       46|
|avg_score_Q19 |  8.1159|     10991.050|           20|            11|  78.7828|       54|
|avg_score_Q21 |  7.0876|     15767.278|           21|             4|  77.9367|       50|
|avg_score_Q20 |  6.1417|     11831.855|           22|             9|  78.4143|       58|
