|              |    Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q21 | 4.6942|      889.4794|            1|            17|  67.9013|        1|
|avg_score_Q29 | 4.1608|     2539.9180|            2|             1|  64.3722|        1|
|avg_score_Q22 | 3.4771|     1241.7261|            3|            10|  65.0404|        1|
|avg_score_Q9  | 3.3564|     1987.8611|            4|             2|  66.7892|        1|
|avg_score_Q24 | 3.2903|     1246.2446|            5|             9|  66.4395|        1|
|avg_score_Q16 | 3.1924|     1221.4367|            6|            11|  68.8475|        1|
|avg_score_Q8  | 3.1839|     1710.8420|            7|             3|  64.0045|        1|
|avg_score_Q20 | 3.1747|     1632.0924|            8|             5|  68.2511|        1|
|avg_score_Q25 | 3.0634|     1038.6088|            9|            13|  67.5605|        1|
|avg_score_Q18 | 2.7721|     1648.5455|           10|             4|  67.0942|        1|
|avg_score_Q30 | 2.7317|      944.1414|           11|            14|  66.8475|        1|
|avg_score_Q26 | 2.6324|     1626.8460|           12|             6|  66.2691|        1|
|avg_score_Q28 | 2.3965|     1449.4517|           13|             8|  65.3049|        1|
|avg_score_Q23 | 2.0904|     1456.1259|           14|             7|  66.7354|        1|
|avg_score_Q12 | 2.0829|      906.9413|           15|            16|  70.7265|        1|
|avg_score_Q15 | 1.9306|     1130.0187|           16|            12|  68.7220|        1|
|avg_score_Q11 | 1.8944|      859.2807|           17|            18|  64.7175|        1|
|avg_score_Q19 | 1.8724|      559.8625|           18|            20|  69.0359|        1|
|avg_score_Q27 | 1.8240|      677.1496|           19|            19|  68.0224|        1|
|avg_score_Q10 | 1.7420|      917.5886|           20|            15|  66.8430|        1|
|avg_score_Q7  | 0.7615|      184.1020|           21|            22|  70.8610|        1|
|avg_score_Q17 | 0.1803|      497.3649|           22|            21|  70.4305|        1|
