|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q10 |  2.9046|      118.1942|            1|            11|  75.8286|        0|
|avg_score_Q11 |  2.7575|      196.3969|            2|             1|  72.9429|        0|
|avg_score_Q24 |  2.4894|      140.1712|            3|             9|  73.8571|        0|
|avg_score_Q21 |  2.1700|      143.1866|            4|             7|  77.0571|        0|
|avg_score_Q15 |  2.0941|      171.5446|            5|             3|  74.4000|        0|
|avg_score_Q20 |  1.9133|       19.9438|            6|            23|  78.6000|        0|
|avg_score_Q19 |  1.8646|      178.1744|            7|             2|  77.4571|        0|
|avg_score_Q30 |  1.8576|       44.8174|            8|            18|  76.1143|        0|
|avg_score_Q23 |  1.7725|      141.5700|            9|             8|  78.5143|        0|
|avg_score_Q34 |  1.6826|       84.6045|           10|            13|  74.9143|        0|
|avg_score_Q9  |  1.6363|       76.3809|           11|            14|  76.1714|        0|
|avg_score_Q18 |  1.5887|       45.3786|           12|            17|  74.8000|        0|
|avg_score_Q8  |  1.5789|       16.0915|           13|            24|  72.6857|        0|
|avg_score_Q16 |  1.5646|      157.0934|           14|             4|  77.2286|        0|
|avg_score_Q12 |  1.5518|      149.0971|           15|             6|  80.2286|        0|
|avg_score_Q31 |  1.5406|       65.1025|           16|            15|  72.9143|        0|
|avg_score_Q26 |  1.4152|      155.6412|           17|             5|  75.6286|        0|
|avg_score_Q27 |  1.3709|       22.1223|           18|            21|  74.9143|        0|
|avg_score_Q25 |  1.3631|       21.8319|           19|            22|  74.9143|        0|
|avg_score_Q29 |  1.2990|      139.6135|           20|            10|  70.7714|        0|
|avg_score_Q38 |  1.1040|       37.0956|           21|            19|  80.0286|        0|
|avg_score_Q28 |  1.1011|       15.0929|           22|            25|  73.6286|        0|
|avg_score_Q33 |  1.0712|       22.3822|           23|            20|  76.3143|        0|
|avg_score_Q35 |  1.0228|        2.8946|           24|            30|  73.2857|        0|
|avg_score_Q32 |  0.8689|       11.6851|           25|            28|  72.4000|        0|
|avg_score_Q36 |  0.8489|       12.0447|           26|            27|  73.4857|        0|
|avg_score_Q7  |  0.8352|       50.6290|           27|            16|  79.6571|        0|
|avg_score_Q17 |  0.8327|       13.6617|           28|            26|  80.1714|        0|
|avg_score_Q37 |  0.7461|        6.7934|           29|            29|  79.7143|        0|
|avg_score_Q22 | -0.0518|       99.4815|           30|            12|  75.1429|        0|
