|              |     Imp| IncNodePurity| Imp_Rank| Baseline| req_inc_70| req_inc_75| n_capped|
|:-------------|-------:|-------------:|--------:|--------:|----------:|----------:|--------:|
|avg_score_Q12 | 35.5313|      7751.960|        1|  71.1792|     8.8208|     8.8208|       12|
|avg_score_Q30 | 28.8760|     17742.199|        2|  67.6007|    12.3993|    12.3993|       12|
|avg_score_Q7  | 27.0009|      6509.598|        3|  71.1089|     8.8911|     8.8911|       20|
|avg_score_Q27 | 26.9479|     10298.156|        4|  68.3106|    11.6894|    11.6894|       12|
|avg_score_Q29 | 25.9433|     29962.376|        5|  65.0399|    14.9601|    14.9601|       12|
|avg_score_Q17 | 25.4679|      6088.504|        6|  70.9217|     9.0783|     9.0783|       20|
|avg_score_Q8  | 23.2919|     11662.025|        7|  64.8458|    15.1542|    15.1542|       12|
|avg_score_Q16 | 22.3862|     30347.553|        8|  69.4397|    10.5603|    10.5603|       12|
|avg_score_Q19 | 22.2094|     16262.452|        9|  69.4767|    10.5233|    10.5233|       12|
|avg_score_Q24 | 22.1204|     23331.446|       10|  67.2788|    12.7212|    12.7212|       12|
|avg_score_Q26 | 21.5261|     15441.879|       11|  67.0677|    12.9323|    12.9323|       20|
|avg_score_Q20 | 21.4278|     20973.723|       12|  68.8685|    11.1315|    11.1315|       12|
|avg_score_Q21 | 21.3314|     24537.819|       13|  68.3784|    11.6216|    11.6216|       12|
|avg_score_Q25 | 20.9150|     26613.370|       14|  67.9858|    12.0142|    12.0142|       12|
|avg_score_Q28 | 20.7697|     12311.837|       15|  65.9678|    14.0322|    14.0322|       20|
|avg_score_Q15 | 20.1239|     18549.697|       16|  69.3571|    10.6429|    10.6429|       12|
|avg_score_Q10 | 19.3084|     24323.035|       17|  67.4585|    12.5415|    12.5415|       12|
|avg_score_Q9  | 18.8020|     34879.880|       18|  67.3780|    12.6220|    12.6220|       20|
|avg_score_Q22 | 18.7194|     16924.397|       19|  65.4858|    14.5142|    14.5142|       12|
|avg_score_Q23 | 18.3345|     29454.189|       20|  67.5541|    12.4459|    12.4459|       20|
|avg_score_Q11 | 16.1100|     22348.810|       21|  65.2121|    14.7879|    14.7879|       20|
|avg_score_Q18 | 15.4693|     22422.747|       22|  67.5060|    12.4940|    12.4940|       12|
