        Variable Importance Sign
1  avg_score_Q23     2.1350  POS
2  avg_score_Q29     2.1230  POS
3  avg_score_Q30     1.8410  POS
4   avg_score_Q7     1.6640  POS
5  avg_score_Q16     1.5310  POS
6  avg_score_Q15     1.5160  POS
7  avg_score_Q21     1.2940  POS
8   avg_score_Q9     1.0840  POS
9  avg_score_Q24     0.8003  POS
10 avg_score_Q20     0.4012  POS
11 avg_score_Q26     0.2803  POS
12           sum      14.67 <NA>
