|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q7  | 17.1206|      2027.720|            1|            22|  77.7778|       75|
|avg_score_Q11 | 16.4427|     16213.529|            2|             7|  74.3297|       43|
|avg_score_Q29 | 16.3349|     21105.100|            3|             1|  73.6632|       32|
|avg_score_Q19 | 15.7250|      9492.806|            4|            14|  78.4110|       56|
|avg_score_Q8  | 14.9756|     10491.814|            5|            13|  73.1878|       46|
|avg_score_Q27 | 14.9602|      7991.020|            6|            18|  77.3668|       67|
|avg_score_Q16 | 14.3348|     12796.294|            7|             9|  77.2997|       52|
|avg_score_Q22 | 14.2284|      6517.712|            8|            19|  73.2003|       35|
|avg_score_Q17 | 13.7688|      3373.076|            9|            21|  78.8308|       58|
|avg_score_Q10 | 13.2609|     11842.769|           10|            11|  76.7473|       52|
|avg_score_Q20 | 13.0829|     18538.522|           11|             3|  77.9683|       53|
|avg_score_Q26 | 12.7525|     10543.948|           12|            12|  75.4209|       42|
|avg_score_Q23 | 12.1990|     20086.461|           13|             2|  75.9929|       48|
|avg_score_Q21 | 11.7290|     11939.942|           14|            10|  77.5748|       51|
|avg_score_Q15 | 11.3354|     18375.356|           15|             5|  77.1949|       58|
|avg_score_Q30 | 11.2866|     18479.735|           16|             4|  75.5562|       38|
|avg_score_Q24 | 10.9422|     16283.466|           17|             6|  76.1037|       39|
|avg_score_Q18 | 10.7582|      8617.790|           18|            16|  75.2080|       41|
|avg_score_Q28 | 10.6771|      5219.320|           19|            20|  73.2429|       38|
|avg_score_Q9  |  9.4771|      9410.678|           20|            15|  75.3553|       47|
|avg_score_Q25 |  9.1645|     15690.570|           21|             8|  76.5344|       49|
|avg_score_Q12 |  8.6969|      8469.359|           22|            17|  79.6867|       77|
