"Store","CooksD"
"R05-A19-Watford Road",0.813876431645046
"R02-A06-Sun Lai",0.0977848894265352
"R04-A17-Sha Tau Kok",0.0972240482071773
"R01-A04-Fung Wah",0.0733881694507199
"R02-A07-Chevalier House",0.0649381777249568
"R04-A16-San Fung 3",0.0644302650320827
"R02-A07-Far East",0.0501118932528901
"R04-A17-Po Shing",0.0416901563426397
"R02-A06-Dor Hei Building",0.0362027966680518
"R05-A21-Redhill Plaza",0.034655093593828
"R01-A03-Fullagar",0.0319684154428121
"R01-A01-Victoria Centre",0.0311031205798224
"R05-A22-Lions Rise - MP",0.0266223283423298
"R02-A07-Chung Hwa Plaza",0.022581461795355
"R05-A20-Olympian City 1 - MP",0.0184347188572028
"R02-A05-Well On Garden",0.0165246542779391
"R03-A11-Riviera Garden",0.0145193610675265
"R01-A04-Tai Shan",0.0144969706630754
"R05-A22-Marina Cove - MP",0.0133056277469762
