"Store","CooksD"
"R01-A04-Fung Wah",0.223004037953102
"R04-A16-San Fung 3",0.165199259021048
"R05-A19-Watford Road",0.0786874296855327
"R01-A04-Tai Shan",0.0578253672891492
"R01-A02-Cartwright Garden",0.0486099049918158
"R02-A05-Well On Garden",0.0474735341806469
"R02-A06-Sun Lai",0.038101357731097
"R03-A11-Shek Yam",0.0346823939708896
"R01-A02-Loon Kee Building",0.0344815526019698
"R04-A15-Fo Tan",0.0325589342950304
"R04-A17-Lok Ma Chau",0.029583418581551
"R05-A20-Olympian City 1 - MP",0.0271888463253877
"R05-A19-Jardine House - MPJ",0.0201406005984745
"R02-A06-Tak Bo Garden 2",0.0195707077591887
"R01-A02-Cheung Chau",0.0195500146945269
"R05-A22-Julimount Garden",0.0194846607951712
"R05-A20-Victoria Dockside - MP",0.0187700755530695
"R01-A03-DDC Westwood",0.0187062956675111
"R05-A20-Surson Building - MP",0.0173239586886377
"R04-A16-Union Plaza",0.017227120520447
"R03-A10-Shun Ning Road",0.0165063445104042
"R04-A18-Lam Tei 2",0.0163186394508568
"R02-A07-Chevalier House",0.015823119276379
"R02-A09-Fair Way Garden",0.0157877469302428
"R01-A01-North Point",0.0147368365970979
"R04-A15-Mei Tin",0.014490258818709
"R05-A23-CDW Building - MPJ",0.0138006515568086
"R05-A19-Nexxus Building - MP",0.0135433973431123
