"Store","CooksD"
"R05-A19-Watford Road",0.671377996909962
"R04-A17-Sha Tau Kok",0.129035481472466
"R05-A22-Lions Rise - MP",0.121628922451125
"R02-A06-Sun Lai",0.0543057467500884
"R04-A15-Fo Tan",0.0502280514567404
"R04-A16-San Fung 3",0.0436489203374859
"R02-A07-Chevalier House",0.0399959071339463
"R01-A02-Kimley Commercial Building",0.0348184343987198
"R01-A02-Yee Ga Court",0.0308062815506146
"R01-A03-Fullagar",0.0265735308878857
"R01-A04-Sun Sing",0.0254632908377048
"R05-A21-Redhill Plaza",0.0251031500239715
"R04-A15-Mei Tin",0.0246669515997691
"R01-A04-Fung Wah",0.0244029563307204
"R01-A04-Tai Shan",0.0235748640223768
"R04-A18-Lam Tei 2",0.0231898541498605
"R03-A11-Shek Lei",0.0179591145021917
"R05-A20-Surson Building - MP",0.0178202402531556
"R01-A04-Hing Wah",0.0148352475632964
"R05-A19-Central House - MP",0.0131330360410066
"R02-A05-Sai Kung Building",0.0129290010907585
