|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q8  | 17.7449|     27800.964|            1|             1|  73.2993|       45|
|avg_score_Q22 | 17.1763|     13626.365|            2|            12|  73.3266|       36|
|avg_score_Q18 | 16.2386|     16805.324|            3|             7|  75.3004|       50|
|avg_score_Q30 | 15.8784|     10835.652|            4|            15|  75.7564|       45|
|avg_score_Q19 | 14.8951|      5009.590|            5|            20|  78.4604|       57|
|avg_score_Q29 | 14.8472|      7125.949|            6|            19|  73.7657|       39|
|avg_score_Q7  | 14.4707|      3308.621|            7|            22|  77.9345|       79|
|avg_score_Q12 | 14.4437|      9567.403|            8|            18|  79.9137|       82|
|avg_score_Q28 | 14.3411|      9588.070|            9|            17|  73.4162|       41|
|avg_score_Q15 | 14.2811|     16718.542|           10|             8|  77.2622|       59|
|avg_score_Q11 | 14.1539|     25391.922|           11|             2|  74.5702|       47|
|avg_score_Q9  | 13.7066|     21371.553|           12|             5|  75.4200|       51|
|avg_score_Q27 | 13.6213|     12251.017|           13|            13|  77.4347|       70|
|avg_score_Q17 | 13.5519|      3878.160|           14|            21|  79.0759|       65|
|avg_score_Q26 | 13.1588|     13926.098|           15|            11|  75.6090|       45|
|avg_score_Q23 | 12.8332|     18026.322|           16|             6|  76.0475|       52|
|avg_score_Q20 | 12.7894|     11897.495|           17|            14|  78.0743|       57|
|avg_score_Q10 | 12.2765|     16265.807|           18|             9|  77.0022|       54|
|avg_score_Q16 | 11.7632|     14518.673|           19|            10|  77.4511|       56|
|avg_score_Q25 | 11.3197|     21469.637|           20|             4|  76.7723|       54|
|avg_score_Q24 | 11.1376|     24777.388|           21|             3|  76.1300|       41|
|avg_score_Q21 |  9.8511|     10168.672|           22|            16|  77.7591|       51|
