        Variable Importance Sign
1  avg_score_Q29     3.0480  POS
2  avg_score_Q23     2.5260  POS
3  avg_score_Q11     2.0300  POS
4  avg_score_Q30     1.9370  POS
5  avg_score_Q15     1.7900  POS
6   avg_score_Q9     1.5960  POS
7  avg_score_Q21     1.3530  POS
8   avg_score_Q7     1.3130  POS
9  avg_score_Q16     0.9598  POS
10 avg_score_Q28     0.4831  POS
11  avg_score_Q8     0.2857  POS
12           sum      17.32 <NA>
