|              |     Imp| IncNodePurity| Imp_Rank| Baseline| req_inc_70| req_inc_75| n_capped|
|:-------------|-------:|-------------:|--------:|--------:|----------:|----------:|--------:|
|avg_score_Q12 | 28.9606|      7881.517|        1|  71.3014|     8.6986|     8.6986|       10|
|avg_score_Q17 | 25.4747|      6622.353|        2|  70.9441|     9.0559|     9.0559|       20|
|avg_score_Q11 | 25.4058|     24816.663|        3|  65.2231|    14.7769|    14.7769|       20|
|avg_score_Q20 | 25.3137|     14071.694|        4|  68.9887|    11.0113|    11.0113|       10|
|avg_score_Q29 | 24.4740|     36854.289|        5|  65.0623|    14.9377|    14.9377|       10|
|avg_score_Q27 | 24.4303|      8724.683|        6|  68.3668|    11.6332|    11.6332|       10|
|avg_score_Q21 | 23.4887|     21416.375|        7|  68.4047|    11.5953|    11.5953|       10|
|avg_score_Q30 | 23.0930|     21914.487|        8|  67.6041|    12.3959|    12.3959|       10|
|avg_score_Q8  | 21.8616|     25438.292|        9|  64.8543|    15.1457|    15.1457|       10|
|avg_score_Q28 | 21.2113|     12545.101|       10|  66.0104|    13.9896|    13.9896|       20|
|avg_score_Q7  | 20.9532|      8135.411|       11|  71.1027|     8.8973|     8.8973|       20|
|avg_score_Q24 | 20.4936|     23020.371|       12|  67.3171|    12.6829|    12.6829|       10|
|avg_score_Q23 | 20.3868|     34379.019|       13|  67.5977|    12.4023|    12.4023|       20|
|avg_score_Q16 | 19.3656|     32082.326|       14|  69.5312|    10.4688|    10.4688|       10|
|avg_score_Q25 | 19.1934|     30564.912|       15|  68.0106|    11.9894|    11.9894|       10|
|avg_score_Q9  | 18.9616|     32300.598|       16|  67.3615|    12.6385|    12.6385|       20|
|avg_score_Q19 | 18.5822|     17591.135|       17|  69.4839|    10.5161|    10.5161|       10|
|avg_score_Q18 | 17.9582|     19994.339|       18|  67.5389|    12.4611|    12.4611|       10|
|avg_score_Q10 | 17.7081|     27193.620|       19|  67.5449|    12.4551|    12.4551|       10|
|avg_score_Q26 | 17.3445|     20470.057|       20|  67.0526|    12.9474|    12.9474|       20|
|avg_score_Q15 | 17.1879|     16186.779|       21|  69.4719|    10.5281|    10.5281|       10|
|avg_score_Q22 | 16.9289|     24145.096|       22|  65.5622|    14.4378|    14.4378|       10|
