"Store","CooksD"
"R02-A06-Sun Lai",0.468917599193102
"R05-A19-Watford Road",0.132176477328621
"R04-A17-Lok Ma Chau",0.0876055240289587
"R05-A19-Jardine House - MPJ",0.0756982964312125
"R02-A09-Tsui Chuk Garden",0.0718074572034531
"R04-A17-Sha Tau Kok",0.0676563948580355
"R01-A04-Tai Shan",0.0506285519764485
"R02-A06-Dor Hei Building",0.0474011745714479
"R01-A02-Cheung Chau",0.0461916619790883
"R01-A03-Fullagar",0.04372305449224
"R02-A05-Well On Garden",0.0405820500831606
"R04-A16-Union Plaza",0.0397390814887312
"R05-A20-Victoria Dockside - MP",0.0277465011650661
"R03-A10-Golden Centre",0.0228399342138178
"R03-A10-Golden Hill",0.0217201546532248
"R01-A02-Loon Kee Building",0.0201436366497573
"R02-A09-Jade Mansion",0.019677062113972
"R01-A01-Healthy Village",0.0193982451752301
"R02-A08-Yaumatei",0.0181470315917762
"R02-A08-Tai Tung",0.0179478054323373
"R04-A18-Lam Tei 2",0.0177567526030531
"R03-A11-Tai Wo Hau",0.0175895877546993
"R04-A16-Tsui Lai Garden",0.0174940563080546
"R03-A11-Riviera Garden",0.0147176942366224
"R04-A16-San Fung 3",0.0141575798528279
"R02-A07-Empress Plaza",0.0141374712368843
"R05-A19-Prince Building - Oliver's",0.014096138664297
"R02-A05-Sai Kung Building",0.0133007349650007
"R04-A15-Yuet On",0.0131319614255594
