|              |    Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q30 | 4.3729|     1854.7775|            1|             4|  67.3229|        1|
|avg_score_Q20 | 4.2933|     1154.8154|            2|             9|  68.8475|        1|
|avg_score_Q29 | 3.6533|     1249.3124|            3|             7|  64.9238|        1|
|avg_score_Q11 | 3.5989|     2832.7861|            4|             1|  65.2422|        2|
|avg_score_Q28 | 3.5240|      357.9996|            5|            20|  66.0314|        2|
|avg_score_Q23 | 3.3322|     1101.8702|            6|            11|  67.4350|        2|
|avg_score_Q16 | 3.2812|      310.0757|            7|            22|  69.4395|        1|
|avg_score_Q24 | 3.2771|     1659.3206|            8|             5|  67.2960|        1|
|avg_score_Q21 | 3.0349|     1940.2131|            9|             3|  68.3274|        1|
|avg_score_Q17 | 3.0148|     1206.8969|           10|             8|  71.0314|        2|
|avg_score_Q19 | 2.8009|      461.6498|           11|            18|  69.5112|        1|
|avg_score_Q15 | 2.7859|      761.7249|           12|            14|  69.2422|        1|
|avg_score_Q12 | 2.5925|      929.8077|           13|            13|  71.1973|        1|
|avg_score_Q27 | 2.4431|      369.3732|           14|            19|  68.3274|        1|
|avg_score_Q10 | 2.3915|      525.6198|           15|            17|  67.5157|        1|
|avg_score_Q9  | 2.3754|     1579.6964|           16|             6|  67.5291|        2|
|avg_score_Q22 | 2.3565|     2079.7487|           17|             2|  65.4978|        1|
|avg_score_Q25 | 2.0975|     1015.8063|           18|            12|  68.0628|        1|
|avg_score_Q26 | 2.0092|      726.9477|           19|            15|  66.8655|        2|
|avg_score_Q8  | 1.9708|      329.6909|           20|            21|  64.6502|        1|
|avg_score_Q18 | 1.8572|     1149.2017|           21|            10|  67.5291|        1|
|avg_score_Q7  | 1.6283|      602.1279|           22|            16|  71.2287|        2|
