|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q11 |  2.6563|      112.4548|            1|             9|  73.7059|        0|
|avg_score_Q10 |  2.5904|      219.5669|            2|             2|  75.5882|        0|
|avg_score_Q8  |  2.1297|      205.7491|            3|             4|  72.2059|        0|
|avg_score_Q29 |  1.9453|      108.7778|            4|            11|  70.1765|        0|
|avg_score_Q25 |  1.7785|      150.1752|            5|             5|  74.6176|        0|
|avg_score_Q36 |  1.6452|      125.5508|            6|             8|  73.8824|        0|
|avg_score_Q24 |  1.6363|      209.4067|            7|             3|  73.8235|        0|
|avg_score_Q22 |  1.5969|      228.5907|            8|             1|  74.9706|        0|
|avg_score_Q23 |  1.4128|      150.0424|            9|             6|  78.9412|        0|
|avg_score_Q37 |  1.3935|       73.7563|           10|            18|  79.4118|        0|
|avg_score_Q30 |  1.3468|      139.0207|           11|             7|  75.4706|        0|
|avg_score_Q7  |  1.2868|       10.8962|           12|            26|  80.0294|        0|
|avg_score_Q31 |  1.2726|      106.5451|           13|            12|  73.7353|        0|
|avg_score_Q16 |  1.2316|       74.1439|           14|            17|  77.9412|        0|
|avg_score_Q9  |  1.2247|       72.3069|           15|            19|  76.4118|        0|
|avg_score_Q27 |  1.1296|      111.3759|           16|            10|  75.0000|        0|
|avg_score_Q12 |  0.9329|       86.9795|           17|            14|  80.5882|        0|
|avg_score_Q18 |  0.8517|       89.1573|           18|            13|  74.8824|        0|
|avg_score_Q28 |  0.7899|       43.7740|           19|            22|  73.3824|        0|
|avg_score_Q35 |  0.7029|        8.2477|           20|            27|  73.5000|        0|
|avg_score_Q15 |  0.5121|       77.4600|           21|            16|  74.0000|        0|
|avg_score_Q17 |  0.4038|       22.7941|           22|            23|  80.7941|        0|
|avg_score_Q26 |  0.3530|       63.5051|           23|            20|  75.5000|        0|
|avg_score_Q33 |  0.0337|       21.1658|           24|            24|  76.8824|        0|
|avg_score_Q19 | -0.0666|        7.6053|           25|            28|  77.5000|        0|
|avg_score_Q20 | -0.0731|        6.9975|           26|            29|  78.6176|        0|
|avg_score_Q34 | -1.1325|       11.9564|           27|            25|  75.5000|        0|
|avg_score_Q21 | -1.5130|        6.6040|           28|            30|  77.4706|        0|
|avg_score_Q32 | -2.0706|       51.9418|           29|            21|  72.8824|        0|
|avg_score_Q38 | -2.0765|       84.6422|           30|            15|  80.4412|        0|
