         Feature Coefficients Percentage
1    (Intercept)   65.1234177 86.4721635
2   avg_score_Q8    2.2743200  3.0198871
4  avg_score_Q11    1.7867881  2.3725326
7  avg_score_Q24    1.5016594  1.9939331
9  avg_score_Q29    1.4479167  1.9225725
5  avg_score_Q18    1.1359532  1.5083411
10 avg_score_Q30    0.8626959  1.1455048
8  avg_score_Q28    0.5597652  0.7432674
6  avg_score_Q20    0.3208511  0.4260324
3   avg_score_Q9    0.2980566  0.3957654
