|              |     Imp| IncNodePurity| Imp_Rank| Baseline| req_inc_70| req_inc_75| n_capped|
|:-------------|-------:|-------------:|--------:|--------:|----------:|----------:|--------:|
|avg_score_Q7  | 35.7129|      5963.574|        1|  71.2008|     8.7992|     8.7992|       21|
|avg_score_Q27 | 29.3000|      6414.160|        2|  68.3682|    11.6318|    11.6318|       12|
|avg_score_Q12 | 28.9563|     11116.154|        3|  71.2731|     8.7269|     8.7269|       12|
|avg_score_Q17 | 28.9005|      7498.259|        4|  70.9528|     9.0472|     9.0472|       21|
|avg_score_Q8  | 25.0178|     31891.399|        5|  64.8527|    15.1473|    15.1473|       12|
|avg_score_Q30 | 24.7393|     15340.568|        6|  67.6502|    12.3498|    12.3498|       12|
|avg_score_Q11 | 24.6754|     27821.414|        7|  65.2247|    14.7753|    14.7753|       21|
|avg_score_Q20 | 24.3882|     15146.399|        8|  68.9206|    11.0794|    11.0794|       12|
|avg_score_Q19 | 23.4749|      9106.096|        9|  69.5286|    10.4714|    10.4714|       12|
|avg_score_Q29 | 23.1386|     37545.278|       10|  65.0512|    14.9488|    14.9488|       12|
|avg_score_Q10 | 22.2305|     28377.633|       11|  67.5035|    12.4965|    12.4965|       12|
|avg_score_Q26 | 22.1038|     25361.053|       12|  67.1599|    12.8401|    12.8401|       21|
|avg_score_Q21 | 21.7696|     16822.455|       13|  68.4310|    11.5690|    11.5690|       12|
|avg_score_Q24 | 21.7223|     35575.663|       14|  67.3290|    12.6710|    12.6710|       12|
|avg_score_Q23 | 20.3378|     35259.923|       15|  67.6107|    12.3893|    12.3893|       21|
|avg_score_Q9  | 20.1786|     32726.228|       16|  67.4093|    12.5907|    12.5907|       21|
|avg_score_Q25 | 19.9963|     19470.476|       17|  68.0428|    11.9572|    11.9572|       12|
|avg_score_Q15 | 18.9972|     14508.447|       18|  69.4246|    10.5754|    10.5754|       12|
|avg_score_Q28 | 18.0958|     18567.982|       19|  65.9951|    14.0049|    14.0049|       21|
|avg_score_Q22 | 17.7168|     29680.040|       20|  65.5759|    14.4241|    14.4241|       12|
|avg_score_Q16 | 17.6333|     18873.994|       21|  69.4581|    10.5419|    10.5419|       12|
|avg_score_Q18 | 16.1125|     27237.550|       22|  67.5641|    12.4359|    12.4359|       12|
