"Store","CooksD"
"R05-A19-Peak - MP",0.142126267851235
"R02-A09-Chun Seen Mei",0.127735853858436
"R04-A16-San Fung 3",0.0746433559261917
"R01-A02-Yee Ga Court",0.0577978099860905
"R02-A09-Tsui Chuk Garden",0.0577337251053112
"R01-A04-Fung Wah",0.0572590360067463
"R04-A16-Tsui Lai Garden",0.0544742776663313
"R02-A06-Dor Hei Building",0.0544424414680859
"R05-A20-Surson Building - MP",0.0479642984039878
"R05-A19-Watford Road",0.0414429282340914
"R01-A04-Upper East",0.0379446588638193
"R05-A19-Jardine House - MPJ",0.0376024105773332
"R02-A07-Chevalier House",0.0351265461529599
"R03-A10-Nam Cheong Estate",0.0288668331466867
"R04-A17-Sha Tau Kok",0.0285511890502698
"R04-A17-Koon Wong Mansion",0.0276448959326498
"R04-A15-Fo Tan",0.0268142677658089
"R01-A03-Belcher's Street",0.0266795301074859
"R03-A11-Tai Wo Hau",0.0237015862789275
"R01-A02-Loon Kee Building",0.0233257521031295
"R03-A10-Shun Ning Road",0.022957198058232
"R02-A06-Sun Lai",0.0220009402439354
"R01-A01-North Point",0.0214615544503993
"R01-A04-Winner",0.0210889268724551
"R05-A19-Prince Building - Oliver's",0.0196041051254701
"R05-A19-Nexxus Building - MP",0.0189367944947763
"R01-A04-Sun Sing",0.0182460272815555
"R05-A22-Oxford Road - MP",0.018139380561719
"R04-A15-Yuet On",0.0157218364249184
"R03-A12-Ying Tung",0.0133765992059659
"R01-A03-Port Centre",0.0129816409993407
