        Variable Importance Sign
1  avg_score_Q18     2.0520  POS
2  avg_score_Q29     1.9970  POS
3   avg_score_Q8     1.9900  POS
4  avg_score_Q11     1.8390  POS
5  avg_score_Q24     1.4770  POS
6  avg_score_Q30     1.1970  POS
7  avg_score_Q28     1.0940  POS
8  avg_score_Q20     0.8725  POS
9   avg_score_Q9     0.8512  POS
10           sum      13.37 <NA>
