"Store","CooksD"
"R01-A04-Fung Wah",0.20242308178312
"R04-A16-San Fung 3",0.137020404398893
"R02-A07-Chevalier House",0.0559197225966141
"R05-A22-Lions Rise - MP",0.0535912010540763
"R03-A11-Shek Yam",0.0529193158483194
"R02-A05-Well On Garden",0.0500194193325999
"R01-A04-Tai Shan",0.0491302714970324
"R02-A07-Empress Plaza",0.0433093402100569
"R04-A15-Fo Tan",0.042455167389264
"R01-A02-Loon Kee Building",0.0396544300937089
"R01-A02-Luckifast?? Building",0.0363172752451662
"R05-A20-Olympian City 1 - MP",0.0355253812124916
"R01-A02-Cartwright Garden",0.0307466397866087
"R01-A04-Sun Sing",0.0289999870805007
"R02-A09-Fair Way Garden",0.0282588493648543
"R04-A15-Mei Tin",0.0250081096147998
"R01-A02-Cheung Chau",0.0247345754080203
"R04-A18-Treasure Court",0.0220927412837494
"R02-A06-Tak Bo Garden 2",0.0216890702981078
"R04-A18-Lam Tei 2",0.0194015825966985
"R04-A17-Lok Ma Chau",0.0185983528948278
"R01-A04-Winner",0.0185245073276465
"R01-A01-Healthy Village",0.0178499978851588
"R05-A19-Watford Road",0.0178002783284332
"R04-A16-Union Plaza",0.0172561294275409
"R05-A20-Victoria Dockside - MP",0.0170881616334585
"R03-A11-Waldorf Centre",0.0152472694628432
"R02-A09-Tin Ma",0.0148009297028723
"R05-A23-CDW Building - MPJ",0.0132727801814668
