         Feature Coefficients Percentage
1    (Intercept)  64.71202532 85.9347100
12 avg_score_Q29   3.19172004  4.2384632
13 avg_score_Q30   1.81427698  2.4092797
4  avg_score_Q11   1.61149741  2.1399973
9  avg_score_Q23   0.94493793  1.2548358
3   avg_score_Q8   0.78756319  1.0458491
11 avg_score_Q28   0.74482370  0.9890930
6  avg_score_Q20   0.51737050  0.6870452
7  avg_score_Q21   0.30990866  0.4115450
10 avg_score_Q25   0.28233246  0.3749250
5  avg_score_Q16   0.16935311  0.2248935
8  avg_score_Q22   0.12418522  0.1649125
2   avg_score_Q7   0.09371605  0.1244508
