        Variable Importance Sign
1  avg_score_Q29     3.1440  POS
2  avg_score_Q30     1.9820  POS
3  avg_score_Q11     1.6620  POS
4  avg_score_Q23     1.1340  POS
5  avg_score_Q28     1.0900  POS
6  avg_score_Q25     0.8238  POS
7  avg_score_Q21     0.7970  POS
8   avg_score_Q8     0.7800  POS
9  avg_score_Q16     0.6543  POS
10  avg_score_Q7     0.6298  NEG
11 avg_score_Q22     0.5826  POS
12 avg_score_Q20     0.3524  POS
13           sum      13.63 <NA>
