|              |     Imp| IncNodePurity| Imp_Rank_MSE| Imp_Rank_Gini| Baseline| n_capped|
|:-------------|-------:|-------------:|------------:|-------------:|--------:|--------:|
|avg_score_Q21 |  3.3247|      466.5967|            1|             1|  77.9714|        1|
|avg_score_Q19 |  2.3717|      353.4222|            2|             4|  77.1143|        0|
|avg_score_Q35 |  2.3431|      202.2798|            3|             7|  74.4000|        0|
|avg_score_Q25 |  2.3337|      393.1351|            4|             2|  75.5429|        0|
|avg_score_Q17 |  2.1531|       22.2246|            5|            28|  79.5714|        0|
|avg_score_Q24 |  1.9337|      366.9766|            6|             3|  74.5714|        0|
|avg_score_Q34 |  1.9070|      195.4661|            7|             8|  76.0000|        0|
|avg_score_Q10 |  1.8697|       52.2710|            8|            24|  76.4857|        0|
|avg_score_Q30 |  1.8619|       86.1359|            9|            19|  76.5429|        0|
|avg_score_Q33 |  1.7899|       60.2625|           10|            22|  76.9429|        0|
|avg_score_Q32 |  1.7566|       93.4696|           11|            18|  73.4000|        0|
|avg_score_Q29 |  1.6871|       98.2032|           12|            17|  71.6286|        0|
|avg_score_Q23 |  1.6363|      217.4825|           13|             6|  78.8286|        0|
|avg_score_Q8  |  1.5648|      236.8086|           14|             5|  73.9714|        0|
|avg_score_Q12 |  1.5390|      121.8843|           15|            14|  80.4857|        1|
|avg_score_Q36 |  1.4484|      106.0024|           16|            16|  74.4857|        0|
|avg_score_Q11 |  1.4040|      108.0007|           17|            15|  73.4000|        0|
|avg_score_Q18 |  1.1685|       54.8670|           18|            23|  74.4571|        0|
|avg_score_Q15 |  1.1122|      178.5965|           19|             9|  74.0857|        0|
|avg_score_Q9  |  1.0706|      136.9406|           20|            11|  76.5714|        0|
|avg_score_Q37 |  1.0540|      123.1783|           21|            13|  79.6571|        1|
|avg_score_Q7  |  1.0420|       36.6036|           22|            26|  78.3714|        0|
|avg_score_Q26 |  0.9966|      151.5273|           23|            10|  75.4000|        0|
|avg_score_Q16 |  0.9760|       61.4942|           24|            21|  77.1429|        0|
|avg_score_Q31 |  0.9712|      133.8157|           25|            12|  73.9143|        0|
|avg_score_Q38 |  0.9593|        5.8675|           26|            30|  80.6000|        1|
|avg_score_Q27 |  0.6778|       84.5882|           27|            20|  74.4000|        0|
|avg_score_Q20 |  0.5034|        6.4272|           28|            29|  78.2571|        0|
|avg_score_Q28 |  0.1152|       51.4941|           29|            25|  73.8286|        0|
|avg_score_Q22 | -0.1060|       29.1367|           30|            27|  74.9429|        0|
